elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
00:48:27,838,715,1037,87.70,30.40,Ikan Goreng,fresh
00:48:57,819,695,1007,88.20,30.50,Ikan Goreng,fresh
00:49:27,826,699,1002,88.50,30.50,Ikan Goreng,fresh
00:49:57,817,703,1008,88.80,30.60,Ikan Goreng,fresh
00:50:27,805,675,967,89.10,30.60,Ikan Goreng,fresh
00:50:57,806,686,970,89.30,30.60,Ikan Goreng,fresh
00:51:27,831,702,986,89.40,30.60,Ikan Goreng,fresh
00:51:57,828,695,971,89.60,30.60,Ikan Goreng,fresh
00:52:27,823,699,965,89.60,30.70,Ikan Goreng,fresh
00:52:57,823,703,963,89.60,30.70,Ikan Goreng,fresh
00:53:27,830,704,969,89.70,30.70,Ikan Goreng,fresh
00:53:57,827,702,959,89.70,30.70,Ikan Goreng,fresh
00:54:27,822,707,955,89.70,30.70,Ikan Goreng,fresh
00:54:57,825,701,954,89.70,30.80,Ikan Goreng,fresh
00:55:27,831,702,951,89.60,30.80,Ikan Goreng,fresh
00:55:57,832,705,961,89.60,30.80,Ikan Goreng,fresh
00:56:27,804,711,960,89.60,30.80,Ikan Goreng,fresh
00:56:57,838,718,960,89.50,30.80,Ikan Goreng,fresh
00:57:27,846,720,959,89.40,30.90,Ikan Goreng,fresh
00:57:57,855,730,969,89.40,30.90,Ikan Goreng,fresh
00:58:27,857,734,974,89.30,30.90,Ikan Goreng,fresh
00:58:57,857,735,977,89.20,30.90,Ikan Goreng,fresh
00:59:27,865,738,975,89.20,30.90,Ikan Goreng,fresh
00:59:57,857,732,969,89.20,30.90,Ikan Goreng,fresh
01:00:27,861,734,963,89.20,30.90,Ikan Goreng,fresh
01:00:57,914,791,1019,89.20,30.90,Ikan Goreng,fresh
01:01:27,912,784,1021,89.20,30.90,Ikan Goreng,fresh
01:01:57,905,785,1013,89.20,30.90,Ikan Goreng,fresh
01:02:27,909,784,1011,89.20,30.90,Ikan Goreng,fresh
01:02:57,912,791,1009,89.20,30.90,Ikan Goreng,fresh
01:03:27,940,816,1046,89.20,30.80,Ikan Goreng,fresh
01:03:57,914,798,1023,89.20,30.90,Ikan Goreng,fresh
01:04:27,936,804,1040,89.20,30.90,Ikan Goreng,fresh
01:04:57,922,787,1022,89.10,30.90,Ikan Goreng,fresh
01:05:27,896,768,995,89.10,30.80,Ikan Goreng,fresh
01:05:57,883,752,983,89.10,30.90,Ikan Goreng,fresh
01:06:27,880,752,987,89.10,30.90,Ikan Goreng,fresh
01:06:57,887,757,991,89.00,30.90,Ikan Goreng,fresh
01:07:27,880,755,984,89.00,30.90,Ikan Goreng,fresh
01:07:57,882,752,981,88.90,30.90,Ikan Goreng,fresh
01:08:27,885,755,979,88.90,30.90,Ikan Goreng,fresh
01:08:57,880,755,985,88.90,30.90,Ikan Goreng,fresh
01:09:27,879,746,983,88.80,30.90,Ikan Goreng,fresh
01:09:57,875,751,978,88.80,30.90,Ikan Goreng,fresh
01:10:27,873,745,979,88.80,30.90,Ikan Goreng,fresh
01:10:57,879,746,976,88.80,31.00,Ikan Goreng,fresh
01:11:27,875,745,976,88.80,31.00,Ikan Goreng,fresh
01:11:57,878,748,973,88.70,31.00,Ikan Goreng,fresh
01:12:27,880,745,977,88.70,31.00,Ikan Goreng,fresh
01:12:57,875,739,977,88.60,31.00,Ikan Goreng,fresh
01:13:27,871,730,977,88.60,31.00,Ikan Goreng,fresh
01:13:57,868,750,965,88.60,31.00,Ikan Goreng,fresh
01:14:27,874,740,971,88.50,31.00,Ikan Goreng,fresh
01:14:57,866,743,973,88.50,31.00,Ikan Goreng,fresh
01:15:27,874,745,975,88.40,31.00,Ikan Goreng,fresh
01:15:57,869,737,967,88.40,31.00,Ikan Goreng,fresh
01:16:27,870,738,971,88.50,31.00,Ikan Goreng,fresh
01:16:57,866,733,971,88.40,31.00,Ikan Goreng,fresh
01:17:27,868,737,966,88.40,31.00,Ikan Goreng,fresh
01:17:57,871,738,969,88.40,31.00,Ikan Goreng,fresh
01:18:27,868,732,971,88.40,31.00,Ikan Goreng,fresh
01:18:57,869,736,965,88.50,31.00,Ikan Goreng,fresh
01:19:27,864,734,964,88.50,30.90,Ikan Goreng,fresh
01:19:57,869,730,968,88.50,30.90,Ikan Goreng,fresh
01:20:27,875,727,961,88.60,30.90,Ikan Goreng,fresh
01:20:57,870,734,967,88.60,30.90,Ikan Goreng,fresh
01:21:27,869,731,966,88.70,30.90,Ikan Goreng,fresh
01:21:57,866,731,966,88.70,30.90,Ikan Goreng,fresh
01:22:27,864,730,963,88.70,30.90,Ikan Goreng,fresh
01:22:57,870,732,963,88.70,30.90,Ikan Goreng,fresh
01:23:27,867,731,975,88.80,30.80,Ikan Goreng,fresh
01:23:57,865,733,961,88.80,30.80,Ikan Goreng,fresh
01:24:27,870,734,964,88.80,30.80,Ikan Goreng,fresh
01:24:57,871,730,965,88.70,30.80,Ikan Goreng,fresh
01:25:27,870,735,970,88.70,30.80,Ikan Goreng,fresh
01:25:57,871,732,991,88.70,30.80,Ikan Goreng,fresh
01:26:27,864,725,966,88.60,30.80,Ikan Goreng,fresh
01:26:57,861,720,960,88.60,30.80,Ikan Goreng,fresh
01:27:27,874,727,971,88.50,30.70,Ikan Goreng,fresh
01:27:57,865,727,965,88.50,30.70,Ikan Goreng,fresh
01:28:27,864,774,976,88.50,30.60,Ikan Goreng,fresh
01:28:57,869,731,966,88.40,30.60,Ikan Goreng,fresh
01:29:27,871,731,965,88.40,30.50,Ikan Goreng,fresh
01:29:57,865,734,966,88.30,30.50,Ikan Goreng,fresh
01:30:27,872,735,963,88.40,30.40,Ikan Goreng,fresh
01:30:57,867,734,963,88.40,30.40,Ikan Goreng,fresh
01:31:27,863,731,977,88.40,30.30,Ikan Goreng,fresh
01:31:57,867,735,964,88.30,30.30,Ikan Goreng,fresh
01:32:27,871,727,974,88.30,30.30,Ikan Goreng,fresh
01:32:57,871,733,972,88.30,30.20,Ikan Goreng,fresh
01:33:27,867,733,964,88.30,30.20,Ikan Goreng,fresh
01:33:57,871,734,961,88.30,30.20,Ikan Goreng,fresh
01:34:27,857,734,967,88.30,30.10,Ikan Goreng,fresh
01:34:57,873,735,965,88.30,30.10,Ikan Goreng,fresh
01:35:27,865,732,964,88.20,30.10,Ikan Goreng,fresh
01:35:57,864,727,963,88.20,30.00,Ikan Goreng,fresh
01:36:27,870,737,962,88.20,30.00,Ikan Goreng,fresh
01:36:57,858,725,970,88.30,30.00,Ikan Goreng,fresh
01:37:27,867,727,963,88.20,29.90,Ikan Goreng,fresh
