elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
00:23:27,800,330,882,92.40,27.20,Nasi Putih,fresh
00:23:57,783,320,871,100.00,27.80,Nasi Putih,fresh
00:24:27,762,320,870,100.00,28.00,Nasi Putih,fresh
00:24:57,754,313,865,100.00,28.20,Nasi Putih,fresh
00:25:27,751,317,864,100.00,28.40,Nasi Putih,fresh
00:25:57,738,309,855,100.00,28.50,Nasi Putih,fresh
00:26:27,734,313,854,100.00,28.60,Nasi Putih,fresh
00:26:57,725,310,849,100.00,28.70,Nasi Putih,fresh
00:27:27,717,315,826,100.00,28.70,Nasi Putih,fresh
00:27:57,715,315,848,100.00,28.70,Nasi Putih,fresh
00:28:27,713,320,848,100.00,28.80,Nasi Putih,fresh
00:28:57,704,317,843,100.00,28.80,Nasi Putih,fresh
00:29:27,691,310,836,100.00,28.90,Nasi Putih,fresh
00:29:57,689,309,832,100.00,28.90,Nasi Putih,fresh
00:30:27,678,309,826,100.00,28.90,Nasi Putih,fresh
00:30:57,677,309,826,100.00,28.90,Nasi Putih,fresh
00:31:27,673,304,819,100.00,28.90,Nasi Putih,fresh
00:31:57,663,304,816,100.00,29.00,Nasi Putih,fresh
00:32:27,660,304,812,100.00,29.00,Nasi Putih,fresh
00:32:57,656,303,814,100.00,29.00,Nasi Putih,fresh
00:33:27,654,304,811,100.00,29.00,Nasi Putih,fresh
00:33:57,653,287,811,100.00,29.00,Nasi Putih,fresh
00:34:27,645,298,805,100.00,29.00,Nasi Putih,fresh
00:34:57,647,299,803,100.00,29.10,Nasi Putih,fresh
00:35:27,647,303,802,100.00,29.10,Nasi Putih,fresh
00:35:57,641,298,801,100.00,29.10,Nasi Putih,fresh
00:36:27,638,299,799,100.00,29.10,Nasi Putih,fresh
00:36:57,635,295,795,100.00,29.10,Nasi Putih,fresh
00:37:27,635,297,796,100.00,29.10,Nasi Putih,fresh
00:37:57,635,300,796,100.00,29.10,Nasi Putih,fresh
00:38:27,628,297,795,100.00,29.10,Nasi Putih,fresh
00:38:57,624,299,787,100.00,29.10,Nasi Putih,fresh
00:39:27,625,295,785,100.00,29.20,Nasi Putih,fresh
00:39:57,624,296,784,100.00,29.20,Nasi Putih,fresh
00:40:27,624,293,785,100.00,29.20,Nasi Putih,fresh
00:40:57,623,298,786,100.00,29.20,Nasi Putih,fresh
00:41:27,620,298,783,100.00,29.10,Nasi Putih,fresh
00:41:57,618,297,784,100.00,29.20,Nasi Putih,fresh
00:42:27,618,295,779,100.00,29.20,Nasi Putih,fresh
00:42:57,615,295,776,100.00,29.20,Nasi Putih,fresh
00:43:27,609,291,775,100.00,29.20,Nasi Putih,fresh
00:43:57,608,293,775,100.00,29.20,Nasi Putih,fresh
