elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
00:05:27,747,478,1154,86.80,30.40,Telur Rebus,fresh
00:05:57,735,511,1105,95.80,31.00,Telur Rebus,fresh
00:06:27,733,511,1090,96.40,31.00,Telur Rebus,fresh
00:06:57,730,523,1061,96.90,31.00,Telur Rebus,fresh
00:07:27,707,511,1043,97.50,31.00,Telur Rebus,fresh
00:07:57,697,525,1035,98.00,31.00,Telur Rebus,fresh
00:08:27,695,533,1014,98.40,31.00,Telur Rebus,fresh
00:08:57,700,539,983,98.80,30.90,Telur Rebus,fresh
00:09:27,701,545,1022,99.20,30.90,Telur Rebus,fresh
00:09:57,695,545,1002,99.40,30.90,Telur Rebus,fresh
00:10:27,693,544,988,99.70,30.90,Telur Rebus,fresh
00:10:57,693,549,976,99.80,30.90,Telur Rebus,fresh
00:11:27,690,544,974,100.00,30.90,Telur Rebus,fresh
00:11:57,691,543,1005,100.00,30.90,Telur Rebus,fresh
00:12:27,705,560,962,100.00,30.90,Telur Rebus,fresh
00:12:57,705,560,951,100.00,30.90,Telur Rebus,fresh
00:13:27,704,556,944,100.00,30.90,Telur Rebus,fresh
00:13:57,708,560,943,100.00,30.90,Telur Rebus,fresh
00:14:27,721,574,941,100.00,30.90,Telur Rebus,fresh
00:14:57,732,571,939,100.00,30.90,Telur Rebus,fresh
00:15:27,740,572,932,100.00,30.90,Telur Rebus,fresh
00:15:57,752,582,933,100.00,30.90,Telur Rebus,fresh
00:16:27,768,575,931,100.00,30.90,Telur Rebus,fresh
00:16:57,788,558,937,100.00,30.90,Telur Rebus,fresh
00:17:27,816,582,941,100.00,31.00,Telur Rebus,fresh
00:17:57,821,590,938,100.00,31.00,Telur Rebus,fresh
00:18:27,834,587,944,100.00,31.00,Telur Rebus,fresh
00:18:57,871,599,962,100.00,31.00,Telur Rebus,fresh
00:19:27,886,605,971,100.00,31.00,Telur Rebus,fresh
00:19:57,906,607,976,100.00,31.00,Telur Rebus,fresh
00:20:27,930,615,997,100.00,31.00,Telur Rebus,fresh
00:20:57,947,618,1011,99.90,31.00,Telur Rebus,fresh
00:21:27,962,624,1020,99.80,31.10,Telur Rebus,fresh
00:21:57,971,627,1038,99.70,31.10,Telur Rebus,fresh
00:22:27,992,619,1043,99.60,31.10,Telur Rebus,fresh
00:22:57,995,631,1059,99.50,31.10,Telur Rebus,fresh
00:23:27,1006,629,1070,99.50,31.10,Telur Rebus,fresh
00:23:57,1022,620,1073,99.40,31.10,Telur Rebus,fresh
00:24:27,1017,624,1088,99.30,31.10,Telur Rebus,fresh
00:24:57,1021,626,1086,99.30,31.10,Telur Rebus,fresh
00:25:27,1023,629,1089,99.20,31.10,Telur Rebus,fresh
00:25:57,1031,635,1099,99.20,31.20,Telur Rebus,fresh
00:26:27,1038,624,1093,99.10,31.20,Telur Rebus,fresh
00:26:57,1035,631,1097,99.10,31.20,Telur Rebus,fresh
00:27:27,1038,628,1103,99.10,31.20,Telur Rebus,fresh
00:27:57,1042,643,1088,99.00,31.20,Telur Rebus,fresh
00:28:27,1036,633,1096,99.10,31.20,Telur Rebus,fresh
00:28:57,1035,634,1088,99.00,31.20,Telur Rebus,fresh
