elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
00:48:27,762,580,1058,88.80,28.30,Ayam Goreng,fresh
00:48:57,779,591,1070,100.00,29.20,Ayam Goreng,fresh
00:49:27,784,592,1072,100.00,29.30,Ayam Goreng,fresh
00:49:57,779,582,1070,100.00,29.50,Ayam Goreng,fresh
00:50:27,780,589,1090,100.00,29.50,Ayam Goreng,fresh
00:50:57,783,577,1071,100.00,29.60,Ayam Goreng,fresh
00:51:27,755,558,1034,100.00,29.70,Ayam Goreng,fresh
00:51:57,769,569,1063,100.00,29.70,Ayam Goreng,fresh
00:52:27,790,591,1078,100.00,29.80,Ayam Goreng,fresh
00:52:57,782,574,1072,100.00,29.80,Ayam Goreng,fresh
00:53:27,751,547,1046,100.00,29.80,Ayam Goreng,fresh
00:53:57,767,566,1061,100.00,29.80,Ayam Goreng,fresh
00:54:27,754,551,1053,100.00,29.80,Ayam Goreng,fresh
00:54:57,753,560,1060,100.00,29.80,Ayam Goreng,fresh
00:55:27,752,548,1045,100.00,29.90,Ayam Goreng,fresh
00:55:57,754,555,1047,100.00,29.90,Ayam Goreng,fresh
00:56:27,739,534,1034,100.00,29.90,Ayam Goreng,fresh
00:56:57,751,543,1045,100.00,29.90,Ayam Goreng,fresh
00:57:27,752,553,1044,100.00,29.90,Ayam Goreng,fresh
00:57:57,750,547,1041,100.00,29.90,Ayam Goreng,fresh
00:58:27,739,545,1038,100.00,29.90,Ayam Goreng,fresh
00:58:57,739,541,1041,100.00,29.90,Ayam Goreng,fresh
00:59:27,738,535,1034,100.00,29.90,Ayam Goreng,fresh
00:59:57,749,543,1033,100.00,29.90,Ayam Goreng,fresh
01:00:27,717,509,1008,100.00,29.90,Ayam Goreng,fresh
01:00:57,750,554,1040,100.00,29.90,Ayam Goreng,fresh
01:01:27,746,550,1005,100.00,29.90,Ayam Goreng,fresh
01:01:57,752,554,1039,100.00,29.90,Ayam Goreng,fresh
01:02:27,752,551,1023,100.00,29.90,Ayam Goreng,fresh
01:02:57,725,527,1009,100.00,29.90,Ayam Goreng,fresh
01:03:27,732,529,1017,100.00,29.90,Ayam Goreng,fresh
01:03:57,750,554,1023,100.00,29.90,Ayam Goreng,fresh
01:04:27,755,554,1041,100.00,29.90,Ayam Goreng,fresh
01:04:57,759,558,1041,100.00,29.90,Ayam Goreng,fresh
01:05:27,752,558,1034,100.00,29.90,Ayam Goreng,fresh
01:05:57,752,560,1039,100.00,29.90,Ayam Goreng,fresh
01:06:27,735,538,1019,100.00,29.90,Ayam Goreng,fresh
01:06:57,752,563,1038,100.00,29.90,Ayam Goreng,fresh
01:07:27,752,563,1038,100.00,29.90,Ayam Goreng,fresh
01:07:57,759,560,1040,100.00,29.90,Ayam Goreng,fresh
01:08:27,757,570,1040,100.00,29.90,Ayam Goreng,fresh
01:08:57,761,561,1040,100.00,29.90,Ayam Goreng,fresh
01:09:27,763,566,1050,100.00,29.90,Ayam Goreng,fresh
01:09:57,759,567,1043,100.00,29.90,Ayam Goreng,fresh
01:10:27,764,576,1049,100.00,29.90,Ayam Goreng,fresh
01:10:57,763,575,1040,100.00,29.90,Ayam Goreng,fresh
01:11:27,752,574,1044,100.00,29.90,Ayam Goreng,fresh
01:11:57,770,578,1039,100.00,29.90,Ayam Goreng,fresh
01:12:27,778,577,1036,100.00,29.90,Ayam Goreng,fresh
01:12:57,769,578,1050,100.00,29.90,Ayam Goreng,fresh
01:13:27,755,560,1023,100.00,29.90,Ayam Goreng,fresh
01:13:57,773,580,1052,100.00,29.90,Ayam Goreng,fresh
01:14:27,768,580,1055,100.00,29.90,Ayam Goreng,fresh
01:14:57,781,583,1053,100.00,29.90,Ayam Goreng,fresh
01:15:27,775,589,1062,100.00,29.90,Ayam Goreng,fresh
01:15:57,784,592,1066,100.00,29.90,Ayam Goreng,fresh
01:16:27,784,592,1061,100.00,29.90,Ayam Goreng,fresh
01:16:57,785,596,1065,100.00,29.90,Ayam Goreng,fresh
01:17:27,801,621,1076,100.00,29.90,Ayam Goreng,fresh
01:17:57,807,621,1082,100.00,29.80,Ayam Goreng,fresh
