elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
00:25:27,357,277,526,68.30,27.20,Nasi Goreng,fresh
00:25:57,370,272,533,100.00,29.30,Nasi Goreng,fresh
00:26:27,379,285,539,100.00,29.70,Nasi Goreng,fresh
00:26:57,379,288,537,100.00,30.00,Nasi Goreng,fresh
00:27:27,374,289,531,100.00,30.20,Nasi Goreng,fresh
00:27:57,371,285,528,100.00,30.50,Nasi Goreng,fresh
00:28:27,371,285,526,100.00,30.60,Nasi Goreng,fresh
00:28:57,368,286,524,100.00,30.70,Nasi Goreng,fresh
00:29:27,366,281,497,100.00,30.80,Nasi Goreng,fresh
00:29:57,368,284,508,100.00,30.90,Nasi Goreng,fresh
00:30:27,359,279,503,100.00,31.00,Nasi Goreng,fresh
00:30:57,357,275,497,100.00,31.00,Nasi Goreng,fresh
00:31:27,356,277,496,100.00,31.00,Nasi Goreng,fresh
00:31:57,336,260,481,100.00,31.10,Nasi Goreng,fresh
00:32:27,337,263,478,100.00,31.10,Nasi Goreng,fresh
00:32:57,337,269,478,100.00,31.10,Nasi Goreng,fresh
00:33:27,341,270,482,100.00,31.10,Nasi Goreng,fresh
00:33:57,337,261,470,100.00,31.10,Nasi Goreng,fresh
00:34:27,333,260,465,100.00,31.10,Nasi Goreng,fresh
00:34:57,347,273,481,100.00,31.10,Nasi Goreng,fresh
00:35:27,346,275,479,100.00,31.10,Nasi Goreng,fresh
00:35:57,366,294,496,100.00,31.10,Nasi Goreng,fresh
00:36:27,400,327,541,100.00,31.10,Nasi Goreng,fresh
00:36:57,385,316,523,100.00,31.10,Nasi Goreng,fresh
00:37:27,397,330,533,100.00,31.00,Nasi Goreng,fresh
00:37:57,395,332,529,100.00,31.00,Nasi Goreng,fresh
00:38:27,386,320,527,100.00,31.00,Nasi Goreng,fresh
00:38:57,390,325,528,100.00,31.00,Nasi Goreng,fresh
00:39:27,381,314,509,100.00,30.90,Nasi Goreng,fresh
00:39:57,395,322,523,100.00,30.90,Nasi Goreng,fresh
00:40:27,395,320,527,100.00,30.90,Nasi Goreng,fresh
00:40:57,394,323,527,100.00,30.90,Nasi Goreng,fresh
00:41:27,400,336,534,100.00,30.90,Nasi Goreng,fresh
00:41:57,418,354,551,100.00,30.80,Nasi Goreng,fresh
00:42:27,423,351,553,100.00,30.80,Nasi Goreng,fresh
00:42:57,379,313,486,100.00,30.80,Nasi Goreng,fresh
00:43:27,388,327,511,100.00,30.80,Nasi Goreng,fresh
00:43:57,385,320,508,100.00,30.80,Nasi Goreng,fresh
00:44:27,385,326,511,100.00,30.70,Nasi Goreng,fresh
00:44:57,375,332,511,100.00,30.70,Nasi Goreng,fresh
00:45:27,401,340,530,100.00,30.70,Nasi Goreng,fresh
00:45:57,402,359,511,100.00,30.70,Nasi Goreng,fresh
00:46:27,414,351,545,100.00,30.70,Nasi Goreng,fresh
00:46:57,406,347,532,100.00,30.60,Nasi Goreng,fresh
00:47:27,412,353,536,100.00,30.60,Nasi Goreng,fresh
00:47:57,425,360,545,100.00,30.60,Nasi Goreng,fresh
00:48:27,409,347,533,100.00,30.60,Nasi Goreng,fresh
00:48:57,432,367,552,100.00,30.50,Nasi Goreng,fresh
00:49:27,354,292,473,100.00,30.50,Nasi Goreng,fresh
00:49:57,378,316,496,100.00,30.50,Nasi Goreng,fresh
00:50:27,385,327,511,100.00,30.50,Nasi Goreng,fresh
00:50:57,425,368,550,100.00,30.40,Nasi Goreng,fresh
00:51:27,347,286,468,100.00,30.40,Nasi Goreng,fresh
00:51:57,369,305,483,100.00,30.40,Nasi Goreng,fresh
00:52:27,381,326,499,100.00,30.30,Nasi Goreng,fresh
00:52:57,379,320,497,100.00,30.30,Nasi Goreng,fresh
00:53:27,387,316,505,100.00,30.30,Nasi Goreng,fresh
00:53:57,384,317,499,100.00,30.30,Nasi Goreng,fresh
00:54:27,400,340,528,100.00,30.30,Nasi Goreng,fresh
00:54:57,417,367,541,100.00,30.20,Nasi Goreng,fresh
00:55:27,392,338,508,100.00,30.20,Nasi Goreng,fresh
00:55:57,417,356,533,100.00,30.20,Nasi Goreng,fresh
00:56:27,419,365,544,100.00,30.10,Nasi Goreng,fresh
00:56:57,409,351,531,100.00,30.10,Nasi Goreng,fresh
