elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
00:00:27,678,423,959,100.00,29.10,Nasi Putih,fresh
00:00:57,689,428,953,100.00,30.10,Nasi Putih,fresh
00:01:27,688,415,946,100.00,30.70,Nasi Putih,fresh
00:01:57,686,423,958,100.00,31.20,Nasi Putih,fresh
00:02:27,702,434,961,100.00,31.70,Nasi Putih,fresh
00:02:57,699,435,966,100.00,32.00,Nasi Putih,fresh
00:03:27,699,436,971,100.00,32.20,Nasi Putih,fresh
00:03:57,702,432,975,100.00,32.50,Nasi Putih,fresh
00:04:27,694,443,982,100.00,32.70,Nasi Putih,fresh
00:04:57,695,447,976,100.00,33.00,Nasi Putih,fresh
00:05:27,704,443,976,100.00,33.10,Nasi Putih,fresh
00:05:57,710,457,978,100.00,33.30,Nasi Putih,fresh
00:06:27,715,468,988,100.00,33.40,Nasi Putih,fresh
00:06:57,788,547,1063,100.00,33.40,Nasi Putih,fresh
00:07:27,785,533,1062,100.00,33.50,Nasi Putih,fresh
00:07:57,752,492,1037,100.00,33.50,Nasi Putih,fresh
00:08:27,720,466,990,100.00,33.50,Nasi Putih,fresh
00:08:57,720,463,987,100.00,33.40,Nasi Putih,fresh
00:09:27,704,456,976,100.00,33.40,Nasi Putih,fresh
00:09:57,698,455,974,100.00,33.40,Nasi Putih,fresh
00:10:27,695,448,963,100.00,33.30,Nasi Putih,fresh
00:10:57,691,448,960,100.00,33.30,Nasi Putih,fresh
00:11:27,695,459,961,100.00,33.20,Nasi Putih,fresh
00:11:57,702,449,961,100.00,33.20,Nasi Putih,fresh
00:12:27,704,451,960,100.00,33.10,Nasi Putih,fresh
00:12:57,698,459,959,100.00,33.10,Nasi Putih,fresh
00:13:27,704,463,960,100.00,33.00,Nasi Putih,fresh
00:13:57,702,460,960,100.00,33.00,Nasi Putih,fresh
00:14:27,698,462,960,100.00,32.90,Nasi Putih,fresh
00:14:57,699,461,965,100.00,32.90,Nasi Putih,fresh
00:15:27,695,464,961,100.00,32.80,Nasi Putih,fresh
00:15:57,688,482,973,100.00,32.70,Nasi Putih,fresh
00:16:27,694,464,954,100.00,32.70,Nasi Putih,fresh
00:16:57,695,461,949,100.00,32.70,Nasi Putih,fresh
00:17:27,697,449,944,100.00,32.60,Nasi Putih,fresh
00:17:57,705,489,960,100.00,32.60,Nasi Putih,fresh
00:18:27,703,478,960,100.00,32.50,Nasi Putih,fresh
00:18:57,695,474,967,100.00,32.50,Nasi Putih,fresh
00:19:27,709,479,954,100.00,32.40,Nasi Putih,fresh
00:19:57,695,470,949,100.00,32.30,Nasi Putih,fresh
00:20:27,698,477,957,100.00,32.30,Nasi Putih,fresh
00:20:57,699,473,912,100.00,32.20,Nasi Putih,fresh
00:21:27,720,474,960,100.00,32.20,Nasi Putih,fresh
00:21:57,715,464,941,100.00,32.10,Nasi Putih,fresh
00:22:27,698,465,949,100.00,32.10,Nasi Putih,fresh
00:22:57,699,469,946,100.00,32.00,Nasi Putih,fresh
00:23:27,688,464,942,100.00,32.00,Nasi Putih,fresh
00:23:57,694,468,943,100.00,31.90,Nasi Putih,fresh
00:24:27,700,465,950,100.00,31.90,Nasi Putih,fresh
00:24:57,694,470,942,100.00,31.80,Nasi Putih,fresh
00:25:27,688,464,941,100.00,31.70,Nasi Putih,fresh
00:25:57,683,465,932,100.00,31.70,Nasi Putih,fresh
00:26:27,688,469,935,100.00,31.70,Nasi Putih,fresh
00:26:57,691,465,938,100.00,31.60,Nasi Putih,fresh
00:27:27,688,467,947,100.00,31.60,Nasi Putih,fresh
00:27:57,664,469,896,100.00,31.50,Nasi Putih,fresh
00:28:27,695,464,938,100.00,31.50,Nasi Putih,fresh
00:28:57,686,463,930,100.00,31.40,Nasi Putih,fresh
00:29:27,685,471,928,100.00,31.40,Nasi Putih,fresh
00:29:57,679,466,923,100.00,31.30,Nasi Putih,fresh
00:30:27,679,473,925,100.00,31.30,Nasi Putih,fresh
00:30:57,684,464,922,100.00,31.20,Nasi Putih,fresh
00:31:27,683,464,918,100.00,31.20,Nasi Putih,fresh
00:31:57,681,458,917,100.00,31.20,Nasi Putih,fresh
00:32:27,682,464,915,100.00,31.10,Nasi Putih,fresh
00:32:57,673,461,923,100.00,31.10,Nasi Putih,fresh
00:33:27,676,463,917,100.00,31.00,Nasi Putih,fresh
00:33:57,679,458,916,100.00,31.00,Nasi Putih,fresh
00:34:27,685,464,914,100.00,31.00,Nasi Putih,fresh
00:34:57,683,464,914,100.00,30.90,Nasi Putih,fresh
00:35:27,672,464,916,100.00,30.90,Nasi Putih,fresh
00:35:57,674,463,917,100.00,30.80,Nasi Putih,fresh
00:36:27,678,464,919,100.00,30.80,Nasi Putih,fresh
00:36:57,671,459,917,100.00,30.80,Nasi Putih,fresh
00:37:27,672,462,912,100.00,30.70,Nasi Putih,fresh
00:37:57,675,464,917,100.00,30.70,Nasi Putih,fresh
00:38:27,714,470,915,100.00,30.70,Nasi Putih,fresh
00:38:57,676,457,919,100.00,30.60,Nasi Putih,fresh
00:39:27,677,466,914,100.00,30.60,Nasi Putih,fresh
00:39:57,678,466,917,100.00,30.60,Nasi Putih,fresh
00:40:27,659,462,923,100.00,30.50,Nasi Putih,fresh
00:40:57,698,471,950,100.00,30.50,Nasi Putih,fresh
00:41:27,678,464,912,100.00,30.50,Nasi Putih,fresh
00:41:57,673,465,913,100.00,30.40,Nasi Putih,fresh
00:42:27,673,462,913,100.00,30.40,Nasi Putih,fresh
00:42:57,665,468,917,100.00,30.40,Nasi Putih,fresh
00:43:27,673,427,918,100.00,30.30,Nasi Putih,fresh
00:43:57,673,464,915,100.00,30.30,Nasi Putih,fresh
00:44:27,675,464,913,100.00,30.30,Nasi Putih,fresh
00:44:57,639,464,913,100.00,30.20,Nasi Putih,fresh
00:45:27,674,474,899,100.00,30.20,Nasi Putih,fresh
00:45:57,681,470,923,100.00,30.20,Nasi Putih,fresh
00:46:27,688,480,928,100.00,30.10,Nasi Putih,fresh
00:46:57,688,486,927,100.00,30.10,Nasi Putih,fresh
00:47:27,698,488,930,100.00,30.10,Nasi Putih,fresh
00:47:57,702,480,942,100.00,30.10,Nasi Putih,fresh
00:48:27,695,499,935,100.00,30.00,Nasi Putih,fresh
00:48:57,697,495,944,100.00,30.00,Nasi Putih,fresh
00:49:27,693,491,942,100.00,30.00,Nasi Putih,fresh
00:49:57,707,511,934,100.00,29.90,Nasi Putih,fresh
00:50:27,698,489,939,100.00,29.90,Nasi Putih,fresh
00:50:57,691,479,935,100.00,29.90,Nasi Putih,fresh
00:51:27,694,486,932,100.00,29.90,Nasi Putih,fresh
00:51:57,695,487,931,100.00,29.90,Nasi Putih,fresh
00:52:27,688,482,935,100.00,29.90,Nasi Putih,fresh
00:52:57,681,487,925,100.00,29.90,Nasi Putih,fresh
00:53:27,690,485,927,100.00,29.80,Nasi Putih,fresh
00:53:57,718,483,930,100.00,29.80,Nasi Putih,fresh
00:54:27,686,489,931,100.00,29.80,Nasi Putih,fresh
00:54:57,693,491,930,100.00,29.70,Nasi Putih,fresh
