split,model,param,value,val_auc
Stratified K-Fold,Logistic Regression,epoch,1,0.6339204879482656
Stratified K-Fold,Logistic Regression,epoch,2,0.6075110229276897
Stratified K-Fold,Logistic Regression,epoch,3,0.7310795120517344
Stratified K-Fold,Logistic Regression,epoch,4,0.9197920340975896
Stratified K-Fold,Logistic Regression,epoch,5,0.8614737654320987
Stratified K-Fold,Logistic Regression,epoch,6,0.82861221340388
Stratified K-Fold,Logistic Regression,epoch,7,0.8768371546149324
Stratified K-Fold,Logistic Regression,epoch,8,0.7759913286302176
Stratified K-Fold,Logistic Regression,epoch,9,0.7183318636096414
Stratified K-Fold,Logistic Regression,epoch,10,0.9175345385067608
Stratified K-Fold,Logistic Regression,epoch,11,0.7236651234567901
Stratified K-Fold,Logistic Regression,epoch,12,0.830765726043504
Stratified K-Fold,Logistic Regression,epoch,13,0.7618680188124634
Stratified K-Fold,Logistic Regression,epoch,14,0.9369337889476779
Stratified K-Fold,Logistic Regression,epoch,15,0.7857197971781306
Stratified K-Fold,Logistic Regression,epoch,16,0.8388503086419753
Stratified K-Fold,Logistic Regression,epoch,17,0.9105717225161669
Stratified K-Fold,Logistic Regression,epoch,18,0.9107326572604351
Stratified K-Fold,Logistic Regression,epoch,19,0.7736658583186361
Stratified K-Fold,Logistic Regression,epoch,20,0.8694481187536743
Stratified K-Fold,Logistic Regression,epoch,21,0.9007899764844209
Stratified K-Fold,Logistic Regression,epoch,22,0.9000349059376838
Stratified K-Fold,Logistic Regression,epoch,23,0.8963216490299825
Stratified K-Fold,Logistic Regression,epoch,24,0.8919326866549089
Stratified K-Fold,Logistic Regression,epoch,25,0.8840964873603763
Stratified K-Fold,Logistic Regression,epoch,26,0.8568963109935333
Stratified K-Fold,Logistic Regression,epoch,27,0.7829309964726632
Stratified K-Fold,Logistic Regression,epoch,28,0.8534189447383892
Stratified K-Fold,Logistic Regression,epoch,29,0.8596829071134626
Stratified K-Fold,Logistic Regression,epoch,30,0.8856319811875368
Stratified K-Fold,Logistic Regression,epoch,31,0.9227344209288655
Stratified K-Fold,Logistic Regression,epoch,32,0.920000734861846
Stratified K-Fold,Logistic Regression,epoch,33,0.9017261904761905
Stratified K-Fold,Logistic Regression,epoch,34,0.8524408436213992
