split,model,param,value,val_auc
Stratified K-Fold,Logistic Regression,epoch,1,0.9613124716553287
Stratified K-Fold,Logistic Regression,epoch,2,0.9565469387755102
Stratified K-Fold,Logistic Regression,epoch,3,0.8086748299319728
Stratified K-Fold,Logistic Regression,epoch,4,0.8085650793650794
Stratified K-Fold,Logistic Regression,epoch,5,0.6504662131519274
Stratified K-Fold,Logistic Regression,epoch,6,0.9302603174603175
Stratified K-Fold,Logistic Regression,epoch,7,0.8814793650793651
Stratified K-Fold,Logistic Regression,epoch,8,0.9060526077097506
Stratified K-Fold,Logistic Regression,epoch,9,0.8545124716553288
Stratified K-Fold,Logistic Regression,epoch,10,0.9371555555555556
Stratified K-Fold,Logistic Regression,epoch,11,0.9410839002267575
Stratified K-Fold,Logistic Regression,epoch,12,0.8940362811791382
Stratified K-Fold,Logistic Regression,epoch,13,0.9568789115646258
Stratified K-Fold,Logistic Regression,epoch,14,0.8975074829931973
Stratified K-Fold,Logistic Regression,epoch,15,0.9151219954648526
Stratified K-Fold,Logistic Regression,epoch,16,0.9138195011337868
Stratified K-Fold,Logistic Regression,epoch,17,0.9497941043083902
Stratified K-Fold,Logistic Regression,epoch,18,0.7627854875283446
Stratified K-Fold,Logistic Regression,epoch,19,0.8651111111111112
Stratified K-Fold,Logistic Regression,epoch,20,0.7903002267573697
Stratified K-Fold,Logistic Regression,epoch,21,0.9038548752834467
Stratified K-Fold,Logistic Regression,epoch,22,0.8968281179138322
Stratified K-Fold,Logistic Regression,epoch,23,0.8701061224489796
Stratified K-Fold,Logistic Regression,epoch,24,0.857342403628118
Stratified K-Fold,Logistic Regression,epoch,25,0.910768253968254
Stratified K-Fold,Logistic Regression,epoch,26,0.9346467120181406
Stratified K-Fold,Logistic Regression,epoch,27,0.898390022675737
Stratified K-Fold,Logistic Regression,epoch,28,0.869338775510204
Stratified K-Fold,Logistic Regression,epoch,29,0.9012108843537414
Stratified K-Fold,Logistic Regression,epoch,30,0.8879501133786848
Stratified K-Fold,Logistic Regression,epoch,31,0.845447619047619
Stratified K-Fold,Logistic Regression,epoch,32,0.8284662131519274
Stratified K-Fold,Logistic Regression,epoch,33,0.8811219954648526
Stratified K-Fold,Logistic Regression,epoch,34,0.8727419501133786
Stratified K-Fold,Logistic Regression,epoch,35,0.8842866213151928
Stratified K-Fold,Logistic Regression,epoch,36,0.8938340136054421
Stratified K-Fold,Logistic Regression,epoch,37,0.8890702947845803
Stratified K-Fold,Logistic Regression,epoch,38,0.8658766439909298
Stratified K-Fold,Logistic Regression,epoch,39,0.7931111111111112
Stratified K-Fold,Logistic Regression,epoch,40,0.8936244897959184
Stratified K-Fold,Random Forest,n_estimators,10,0.6415641723356009
Stratified K-Fold,Random Forest,n_estimators,25,0.7333750566893424
Stratified K-Fold,Random Forest,n_estimators,50,0.751257142857143
Stratified K-Fold,Random Forest,n_estimators,100,0.7314104308390023
Stratified K-Fold,Random Forest,n_estimators,200,0.7321700680272109
Stratified K-Fold,Random Forest,n_estimators,350,0.7445047619047619
Stratified K-Fold,Random Forest,n_estimators,500,0.7391047619047619
Stratified K-Fold,Random Forest,n_estimators,750,0.7222517006802722
Stratified K-Fold,Random Forest,n_estimators,1000,0.7340866213151928
Stratified K-Fold,Decision Tree,max_depth,1,0.5
Stratified K-Fold,Decision Tree,max_depth,2,0.6009523809523809
Stratified K-Fold,Decision Tree,max_depth,3,0.7085986394557824
Stratified K-Fold,Decision Tree,max_depth,5,0.6024430839002268
Stratified K-Fold,Decision Tree,max_depth,7,0.6443841269841271
Stratified K-Fold,Decision Tree,max_depth,9,0.6026448979591835
Stratified K-Fold,Decision Tree,max_depth,11,0.5390009070294783
Stratified K-Fold,Decision Tree,max_depth,15,0.4830984126984127
Stratified K-Fold,Decision Tree,max_depth,None,0.5404761904761906
Stratified K-Fold,KNN,k,1,0.6461904761904762
Stratified K-Fold,KNN,k,3,0.6306639455782314
Stratified K-Fold,KNN,k,5,0.6060244897959184
Stratified K-Fold,KNN,k,7,0.5989074829931973
Stratified K-Fold,KNN,k,9,0.6115369614512471
Stratified K-Fold,KNN,k,11,0.6250467120181407
Stratified K-Fold,KNN,k,15,0.6315419501133787
Stratified K-Fold,KNN,k,21,0.6270702947845805
Stratified K-Fold,KNN,k,31,0.651750566893424
Grouped,Logistic Regression,epoch,1,0.6587056689342403
Grouped,Logistic Regression,epoch,2,0.5943283446712018
Grouped,Logistic Regression,epoch,3,0.6270321995464853
Grouped,Logistic Regression,epoch,4,0.7048979591836735
