split,model,param,value,val_auc
Grouped,Logistic Regression,epoch,1,0.41341814058956916
Grouped,Logistic Regression,epoch,2,0.45188163265306125
Grouped,Logistic Regression,epoch,3,0.5250934240362812
Grouped,Logistic Regression,epoch,4,0.5048140589569161
Grouped,Logistic Regression,epoch,5,0.5085655328798186
Grouped,Logistic Regression,epoch,6,0.6481011337868481
Grouped,Logistic Regression,epoch,7,0.5447478458049887
Grouped,Logistic Regression,epoch,8,0.8662190476190477
Grouped,Logistic Regression,epoch,9,0.5271678004535147
Grouped,Logistic Regression,epoch,10,0.5264866213151927
Grouped,Logistic Regression,epoch,11,0.5492349206349206
Grouped,Logistic Regression,epoch,12,0.5507931972789116
Grouped,Logistic Regression,epoch,13,0.5441836734693877
Grouped,Logistic Regression,epoch,14,0.5453764172335601
Grouped,Logistic Regression,epoch,15,0.521562358276644
Grouped,Logistic Regression,epoch,16,0.5343106575963719
Grouped,Logistic Regression,epoch,17,0.541564172335601
Grouped,Logistic Regression,epoch,18,0.5454517006802722
Grouped,Logistic Regression,epoch,19,0.5367886621315193
Grouped,Logistic Regression,epoch,20,0.5631814058956917
Grouped,Logistic Regression,epoch,21,0.5809229024943311
Grouped,Logistic Regression,epoch,22,0.5336557823129251
Grouped,Logistic Regression,epoch,23,0.539701133786848
Grouped,Logistic Regression,epoch,24,0.5421401360544218
Grouped,Logistic Regression,epoch,25,0.5459514739229026
Grouped,Logistic Regression,epoch,26,0.5256176870748299
Grouped,Logistic Regression,epoch,27,0.5414172335600906
Grouped,Logistic Regression,epoch,28,0.5293963718820861
Grouped,Logistic Regression,epoch,29,0.5422426303854876
Grouped,Logistic Regression,epoch,30,0.5459895691609977
Grouped,Logistic Regression,epoch,31,0.535431746031746
Grouped,Logistic Regression,epoch,32,0.5428793650793651
Grouped,Logistic Regression,epoch,33,0.5561074829931973
Grouped,Logistic Regression,epoch,34,0.5461782312925171
Grouped,Logistic Regression,epoch,35,0.5434253968253968
Grouped,Logistic Regression,epoch,36,0.5431378684807255
Grouped,Logistic Regression,epoch,37,0.5421936507936509
Grouped,Logistic Regression,epoch,38,0.5419442176870748
Grouped,Logistic Regression,epoch,39,0.5393437641723355
Grouped,Logistic Regression,epoch,40,0.5417092970521542
Grouped,Random Forest,n_estimators,10,0.6070344671201814
Grouped,Random Forest,n_estimators,25,0.6258149659863945
Grouped,Random Forest,n_estimators,50,0.5834494331065758
Grouped,Random Forest,n_estimators,100,0.5797378684807255
Grouped,Random Forest,n_estimators,200,0.622485260770975
Grouped,Random Forest,n_estimators,350,0.615185941043084
Grouped,Random Forest,n_estimators,500,0.6040380952380953
Grouped,Random Forest,n_estimators,750,0.5979410430839002
Grouped,Random Forest,n_estimators,1000,0.595774149659864
Grouped,Decision Tree,max_depth,1,0.5
Grouped,Decision Tree,max_depth,2,0.5009523809523809
Grouped,Decision Tree,max_depth,3,0.615609977324263
Grouped,Decision Tree,max_depth,5,0.4691628117913832
Grouped,Decision Tree,max_depth,7,0.6274621315192743
Grouped,Decision Tree,max_depth,9,0.5532226757369614
Grouped,Decision Tree,max_depth,11,0.4887142857142857
Grouped,Decision Tree,max_depth,15,0.5821024943310656
Grouped,Decision Tree,max_depth,None,0.5804761904761905
Grouped,KNN,k,1,0.6090476190476191
Grouped,KNN,k,3,0.6650380952380952
Grouped,KNN,k,5,0.7074866213151928
Grouped,KNN,k,7,0.7202916099773242
Grouped,KNN,k,9,0.729021768707483
Grouped,KNN,k,11,0.731372335600907
Grouped,KNN,k,15,0.7176757369614511
Grouped,KNN,k,21,0.7614843537414968
Grouped,KNN,k,31,0.7135786848072563
Random Split,Logistic Regression,epoch,1,0.7572485260770975
Random Split,Logistic Regression,epoch,2,0.7558789115646257
Random Split,Logistic Regression,epoch,3,0.8666643990929705
Random Split,Logistic Regression,epoch,4,0.89238231292517
Random Split,Logistic Regression,epoch,5,0.5407922902494331
Random Split,Logistic Regression,epoch,6,0.9078480725623583
Random Split,Logistic Regression,epoch,7,0.7799197278911565
Random Split,Logistic Regression,epoch,8,0.9032467120181406
Random Split,Logistic Regression,epoch,9,0.8986616780045351
Random Split,Logistic Regression,epoch,10,0.8830571428571429
Random Split,Logistic Regression,epoch,11,0.8511959183673469
Random Split,Logistic Regression,epoch,12,0.8914480725623584
Random Split,Logistic Regression,epoch,13,0.7993111111111111
Random Split,Logistic Regression,epoch,14,0.9008902494331066
Random Split,Logistic Regression,epoch,15,0.8470707482993198
