elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
02:55:27,787,640,1088,94.60,26.40,Ayam Goreng,fresh
02:55:57,764,624,1066,98.00,26.80,Ayam Goreng,fresh
02:56:27,771,618,1055,98.30,26.80,Ayam Goreng,fresh
02:56:57,760,623,1052,98.60,26.80,Ayam Goreng,fresh
02:57:27,736,594,1035,98.90,26.80,Ayam Goreng,fresh
02:57:57,717,566,1008,98.90,26.80,Ayam Goreng,fresh
02:58:27,711,538,1008,99.10,26.90,Ayam Goreng,fresh
02:58:57,736,572,1004,99.20,26.90,Ayam Goreng,fresh
02:59:27,714,576,1008,99.30,26.90,Ayam Goreng,fresh
02:59:57,711,569,1040,99.40,26.80,Ayam Goreng,fresh
03:00:27,709,561,993,99.60,26.80,Ayam Goreng,fresh
03:00:57,715,567,1006,99.70,26.80,Ayam Goreng,fresh
03:01:27,718,585,1001,99.90,26.70,Ayam Goreng,fresh
03:01:57,713,560,1011,100.00,26.70,Ayam Goreng,fresh
03:02:27,711,576,1007,100.00,26.70,Ayam Goreng,fresh
03:02:57,720,576,999,100.00,26.70,Ayam Goreng,fresh
03:03:27,719,579,995,100.00,26.70,Ayam Goreng,fresh
03:03:57,708,576,993,100.00,26.70,Ayam Goreng,fresh
03:04:27,718,576,993,100.00,26.60,Ayam Goreng,fresh
03:04:57,711,575,996,100.00,26.60,Ayam Goreng,fresh
03:05:27,722,571,1003,100.00,26.60,Ayam Goreng,fresh
03:05:57,711,585,990,100.00,26.60,Ayam Goreng,fresh
03:06:27,704,592,1001,100.00,26.60,Ayam Goreng,fresh
03:06:57,713,582,991,100.00,26.60,Ayam Goreng,fresh
03:07:27,710,604,997,100.00,26.60,Ayam Goreng,fresh
03:07:57,731,583,988,100.00,26.60,Ayam Goreng,fresh
03:08:27,688,574,987,100.00,26.60,Ayam Goreng,fresh
03:08:57,711,574,993,100.00,26.60,Ayam Goreng,fresh
03:09:27,705,571,986,100.00,26.60,Ayam Goreng,fresh
03:09:57,708,576,983,100.00,26.60,Ayam Goreng,fresh
03:10:27,699,568,981,100.00,26.60,Ayam Goreng,fresh
03:10:57,705,566,982,100.00,26.60,Ayam Goreng,fresh
03:11:27,717,555,974,100.00,26.60,Ayam Goreng,fresh
