elapsed,mq2,mq135,mq4,humidity,tempC,food_type,label
00:15:27,786,560,1014,87.70,28.20,Nasi Putih,fresh
00:15:57,753,542,1019,100.00,29.10,Nasi Putih,fresh
00:16:27,752,537,1018,100.00,29.40,Nasi Putih,fresh
00:16:57,774,551,1040,100.00,29.60,Nasi Putih,fresh
00:17:27,779,573,1040,100.00,29.90,Nasi Putih,fresh
00:17:57,778,569,1041,100.00,30.00,Nasi Putih,fresh
00:18:27,789,572,1046,100.00,30.20,Nasi Putih,fresh
00:18:57,763,557,1023,100.00,30.30,Nasi Putih,fresh
00:19:27,770,563,1020,100.00,30.40,Nasi Putih,fresh
00:19:57,778,580,1015,100.00,30.50,Nasi Putih,fresh
00:20:27,769,569,983,100.00,30.60,Nasi Putih,fresh
00:20:57,769,563,1023,100.00,30.80,Nasi Putih,fresh
00:21:27,762,560,1022,100.00,31.00,Nasi Putih,fresh
00:21:57,768,553,1020,100.00,31.10,Nasi Putih,fresh
00:22:27,763,573,1023,100.00,31.20,Nasi Putih,fresh
00:22:57,773,560,1015,100.00,31.30,Nasi Putih,fresh
00:23:27,752,553,1008,100.00,31.30,Nasi Putih,fresh
00:23:57,749,559,1001,100.00,31.40,Nasi Putih,fresh
00:24:27,755,558,1008,100.00,31.40,Nasi Putih,fresh
00:24:57,745,549,999,100.00,31.40,Nasi Putih,fresh
00:25:27,748,565,1005,100.00,31.40,Nasi Putih,fresh
00:25:57,747,554,997,100.00,31.40,Nasi Putih,fresh
00:26:27,739,540,990,100.00,31.40,Nasi Putih,fresh
00:26:57,746,551,988,100.00,31.50,Nasi Putih,fresh
00:27:27,738,554,990,100.00,31.50,Nasi Putih,fresh
00:27:57,741,556,993,100.00,31.50,Nasi Putih,fresh
00:28:27,747,560,996,100.00,31.40,Nasi Putih,fresh
00:28:57,747,551,991,100.00,31.50,Nasi Putih,fresh
00:29:27,747,560,983,100.00,31.40,Nasi Putih,fresh
00:29:57,752,559,989,100.00,31.40,Nasi Putih,fresh
00:30:27,742,558,979,100.00,31.40,Nasi Putih,fresh
00:30:57,738,543,980,100.00,31.40,Nasi Putih,fresh
00:31:27,737,545,975,100.00,31.40,Nasi Putih,fresh
00:31:57,737,546,976,100.00,31.40,Nasi Putih,fresh
00:32:27,730,544,973,100.00,31.40,Nasi Putih,fresh
00:32:57,722,547,977,100.00,31.40,Nasi Putih,fresh
00:33:27,729,545,975,100.00,31.40,Nasi Putih,fresh
00:33:57,755,545,976,100.00,31.40,Nasi Putih,fresh
00:34:27,736,547,981,100.00,31.40,Nasi Putih,fresh
00:34:57,737,558,976,100.00,31.30,Nasi Putih,fresh
00:35:27,742,559,981,100.00,31.30,Nasi Putih,fresh
00:35:57,746,560,978,100.00,31.30,Nasi Putih,fresh
00:36:27,716,545,951,100.00,31.30,Nasi Putih,fresh
00:36:57,737,547,967,100.00,31.30,Nasi Putih,fresh
00:37:27,731,553,966,100.00,31.30,Nasi Putih,fresh
00:37:57,726,541,965,100.00,31.30,Nasi Putih,fresh
00:38:27,734,544,963,100.00,31.30,Nasi Putih,fresh
00:38:57,728,543,961,100.00,31.20,Nasi Putih,fresh
00:39:27,721,543,966,100.00,31.30,Nasi Putih,fresh
00:39:57,723,539,964,100.00,31.20,Nasi Putih,fresh
00:40:27,731,550,964,100.00,31.20,Nasi Putih,fresh
00:40:57,721,539,958,100.00,31.20,Nasi Putih,fresh
00:41:27,690,546,954,100.00,31.20,Nasi Putih,fresh
00:41:57,715,529,951,100.00,31.20,Nasi Putih,fresh
00:42:27,703,534,950,100.00,31.20,Nasi Putih,fresh
00:42:57,713,528,944,100.00,31.20,Nasi Putih,fresh
00:43:27,720,548,944,100.00,31.20,Nasi Putih,fresh
00:43:57,747,555,961,100.00,31.20,Nasi Putih,fresh
00:44:27,749,562,978,100.00,31.20,Nasi Putih,fresh
00:44:57,752,574,987,100.00,31.10,Nasi Putih,fresh
00:45:27,752,576,990,100.00,31.10,Nasi Putih,fresh
00:45:57,743,562,972,100.00,31.10,Nasi Putih,fresh
00:46:27,739,560,976,100.00,31.10,Nasi Putih,fresh
00:46:57,739,554,967,100.00,31.10,Nasi Putih,fresh
00:47:27,732,558,966,100.00,31.10,Nasi Putih,fresh
00:47:57,738,551,973,100.00,31.10,Nasi Putih,fresh
00:48:27,720,533,958,100.00,31.00,Nasi Putih,fresh
00:48:57,730,574,976,100.00,31.00,Nasi Putih,fresh
00:49:27,758,561,972,100.00,31.00,Nasi Putih,fresh
00:49:57,743,560,971,100.00,31.00,Nasi Putih,fresh
00:50:27,747,571,976,100.00,31.00,Nasi Putih,fresh
00:50:57,751,576,991,100.00,31.00,Nasi Putih,fresh
00:51:27,751,564,976,100.00,30.90,Nasi Putih,fresh
00:51:57,738,560,979,100.00,30.90,Nasi Putih,fresh
00:52:27,729,551,965,100.00,30.90,Nasi Putih,fresh
00:52:57,731,558,971,100.00,30.90,Nasi Putih,fresh
00:53:27,734,556,965,100.00,30.90,Nasi Putih,fresh
00:53:57,735,555,960,100.00,30.90,Nasi Putih,fresh
00:54:27,731,551,962,100.00,30.80,Nasi Putih,fresh
00:54:57,720,548,957,100.00,30.80,Nasi Putih,fresh
00:55:27,733,550,965,100.00,30.80,Nasi Putih,fresh
00:55:57,718,548,961,100.00,30.80,Nasi Putih,fresh
00:56:27,722,551,962,100.00,30.80,Nasi Putih,fresh
00:56:57,734,552,935,100.00,30.70,Nasi Putih,fresh
00:57:27,719,555,923,100.00,30.70,Nasi Putih,fresh
00:57:57,727,554,976,100.00,30.70,Nasi Putih,fresh
00:58:27,724,562,964,100.00,30.70,Nasi Putih,fresh
00:58:57,737,559,958,100.00,30.70,Nasi Putih,fresh
00:59:27,736,560,965,100.00,30.70,Nasi Putih,fresh
00:59:57,731,557,961,100.00,30.60,Nasi Putih,fresh
01:00:27,731,551,959,100.00,30.60,Nasi Putih,fresh
01:00:57,720,554,974,100.00,30.60,Nasi Putih,fresh
01:01:27,735,566,970,100.00,30.60,Nasi Putih,fresh
01:01:57,728,560,962,100.00,30.60,Nasi Putih,fresh
01:02:27,737,560,966,100.00,30.50,Nasi Putih,fresh
01:02:57,738,561,966,100.00,30.50,Nasi Putih,fresh
01:03:27,733,564,972,100.00,30.50,Nasi Putih,fresh
01:03:57,748,569,973,100.00,30.50,Nasi Putih,fresh
01:04:27,743,570,971,100.00,30.50,Nasi Putih,fresh
01:04:57,745,563,989,100.00,30.50,Nasi Putih,fresh
01:05:27,739,562,949,100.00,30.50,Nasi Putih,fresh
01:05:57,743,560,966,100.00,30.50,Nasi Putih,fresh
01:06:27,737,562,986,100.00,30.40,Nasi Putih,fresh
01:06:57,739,565,970,100.00,30.40,Nasi Putih,fresh
01:07:27,740,569,971,100.00,30.40,Nasi Putih,fresh
01:07:57,752,565,976,100.00,30.40,Nasi Putih,fresh
01:08:27,785,576,976,100.00,30.40,Nasi Putih,fresh
01:08:57,748,571,979,100.00,30.40,Nasi Putih,fresh
01:09:27,747,563,976,100.00,30.40,Nasi Putih,fresh
01:09:57,743,569,985,100.00,30.40,Nasi Putih,fresh
01:10:27,752,586,992,100.00,30.30,Nasi Putih,fresh
01:10:57,787,602,1006,100.00,30.30,Nasi Putih,fresh
01:11:27,775,599,975,100.00,30.30,Nasi Putih,fresh
01:11:57,768,586,994,100.00,30.30,Nasi Putih,fresh
01:12:27,737,557,966,100.00,30.30,Nasi Putih,fresh
01:12:57,745,563,953,100.00,30.30,Nasi Putih,fresh
01:13:27,735,566,974,100.00,30.30,Nasi Putih,fresh
01:13:57,755,571,971,100.00,30.30,Nasi Putih,fresh
01:14:27,755,576,976,100.00,30.30,Nasi Putih,fresh
